# Global annual mole fraction for HFC-23
# Outputs from AGAGE 12-box model
# Time stamps are the centre of the averaging period
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol)
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk
# File created 2024-02-12 14:24:10.794130+00:00
# Units: ppt
Year,Month,Decimal_date,Global_annual_mole_fraction,Global_annual_mole_fraction_1-sigma
1975,6,1975.46,2.4934957187275777,0.20768156071672308
1976,6,1976.46,2.7611560037421867,0.1599424204936539
1977,6,1977.46,3.041689625979652,0.13649144256098641
1978,6,1978.46,3.3534682834389984,0.14544200995419024
1979,6,1979.46,3.687372580878387,0.165560364807695
1980,6,1980.46,4.029297963579257,0.17629122048364934
1981,6,1981.46,4.363311454852464,0.17907151382265235
1982,6,1982.46,4.668997991387994,0.16916027101234413
1983,6,1983.46,4.994777739126701,0.15584170938340372
1984,6,1984.46,5.381788447609683,0.16757746669607856
1985,6,1985.46,5.795129416397089,0.18601901823622236
1986,6,1986.46,6.23864544110815,0.20147081753279017
1987,6,1987.46,6.688256944217712,0.20942378657086053
1988,6,1988.46,7.186620727521112,0.21327076965417716
1989,6,1989.46,7.762146852698919,0.22134288392413015
1990,6,1990.46,8.343844777099667,0.2389326455116914
1991,6,1991.46,8.865375906973531,0.251915972547925
1992,6,1992.46,9.387440268297675,0.2637365129556497
1993,6,1993.46,9.994780836150085,0.27590955298608777
1994,6,1994.46,10.629379978546668,0.2871331014910873
1995,6,1995.46,11.303482378279115,0.3046538526248376
1996,6,1996.46,12.029802660130755,0.3244350989974538
1997,6,1997.46,12.79647139960535,0.34214245923567177
1998,6,1998.46,13.587332855595479,0.3599491254092277
1999,6,1999.46,14.378112238349429,0.3793650268767261
2000,6,2000.46,15.18945380420845,0.4005146670313074
2001,6,2001.46,15.915262726876216,0.4203451369540872
2002,6,2002.46,16.571766477352934,0.44082911292517896
2003,6,2003.46,17.263409836669094,0.45984952198376255
2004,6,2004.46,18.07253198317125,0.47796664190191446
2005,6,2005.46,19.014656906862296,0.49829839266590964
2006,6,2006.46,20.066124350205403,0.5234703482854678
2007,6,2007.46,21.034720287528483,0.5433737519398515
2008,6,2008.46,21.860318934634915,0.562356385613658
2009,6,2009.46,22.56744152841921,0.5793532984800966
2010,6,2010.46,23.247310699801194,0.5965163391246386
2011,6,2011.46,24.054249070574873,0.6182145796094785
2012,6,2012.46,24.958281182501363,0.6413453879373433
2013,6,2013.46,25.979139015125014,0.6676395181044713
2014,6,2014.46,27.049321229498222,0.6943245213249627
2015,6,2015.46,28.048278592722458,0.720529234823348
2016,6,2016.46,28.937856553412875,0.7441651269300006
2017,6,2017.46,29.96279625803713,0.7715830483086831
2018,6,2018.46,31.168784003253318,0.8015481327423992
2019,6,2019.46,32.46950876819162,0.8348980845341135
2020,6,2020.46,33.725457784364416,0.8681389927498432
2021,6,2021.46,34.86931115014534,0.8948113797707986
2022,6,2022.46,35.859907933808394,0.9200320438300644
2023,6,2023.46,36.80670764572424,0.9441672471135346
